record_id,test_case_id,approach,dataset_size_rooms,number_of_pax,booking_date,preferred_time_slot,starting_location,preferred_location,candidate_rooms,matching_rooms,estimated_operations,execution_time_ms,memory_usage_kb
B-T01,T01,Baseline,14,4,3/8/2026,08:00-10:00,N/A,Nadi@UTP,5,1,196,22.9,65.68
B-T02,T02,Baseline,25,8,4/8/2026,10:00-12:00,N/A,Nadi@UTP,9,1,625,26.75,67
B-T03,T03,Baseline,50,12,5/8/2026,12:00-14:00,N/A,Information Resource Centre,11,2,2500,35.5,70
B-T04,T04,Baseline,75,16,6/8/2026,14:00-16:00,N/A,Nadi@UTP,27,2,5625,44.25,73
B-T05,T05,Baseline,100,20,7/8/2026,Any available time,N/A,Block B,14,2,10000,53,76
B-T06,T06,Baseline,125,24,10/8/2026,16:00-18:00,N/A,Chancellor Complex,18,3,15625,61.75,79
B-T07,T07,Baseline,150,28,11/8/2026,18:00-20:00,N/A,Block B,21,3,22500,70.5,82
B-T08,T08,Baseline,175,30,12/8/2026,20:00-22:00,N/A,Information Resource Centre,38,3,30625,79.25,85
B-T09,T09,Baseline,200,35,13/8/2026,Any available time,N/A,Village 5,29,2,40000,88,88
B-T10,T10,Baseline,250,18,14/8/2026,10:00-12:00,N/A,Village 5,36,2,62500,105.5,94
O-T01,T01,Optimized,14,4,3/8/2026,08:00-10:00,Village 1,Nadi@UTP,5,1,16.05,25.543,74.44
O-T02,T02,Optimized,25,8,4/8/2026,10:00-12:00,Village 5,Nadi@UTP,9,1,34.95,26.737,76.36
O-T03,T03,Optimized,50,12,5/8/2026,12:00-14:00,Block B,Information Resource Centre,11,2,84.95,27.467,80.44
O-T04,T04,Optimized,75,16,6/8/2026,14:00-16:00,Chancellor Complex,Nadi@UTP,27,2,140.63,32.21,85.08
O-T05,T05,Optimized,100,20,7/8/2026,Any available time,Pocket D,Block B,14,2,200,28.365,88.56
O-T06,T06,Optimized,125,24,10/8/2026,16:00-18:00,Information Resource Centre,Chancellor Complex,18,3,262.11,29.72,92.72
O-T07,T07,Optimized,150,28,11/8/2026,18:00-20:00,Nadi@UTP,Block B,21,3,326.41,30.617,96.84
O-T08,T08,Optimized,175,30,12/8/2026,20:00-22:00,Village 1,Information Resource Centre,38,3,392.53,35.65,101.52
O-T09,T09,Optimized,200,35,13/8/2026,Any available time,Chancellor Complex,Village 5,29,2,460.21,32.799,105.16
O-T10,T10,Optimized,250,18,14/8/2026,10:00-12:00,Village 5,Village 5,36,2,599.49,35.681,113.44
