record_id,test_case_id,approach,dataset_size_rooms,number_of_pax,booking_date,preferred_time_slot,starting_location,preferred_location,candidate_rooms,matching_rooms,records_examined,estimated_operations,execution_time_ms,memory_usage_kb,returned_rooms,measurement_type
B-T01,T01,Baseline,100,4,2026-08-03,08:00-10:00,Village 1,Any location,100,12,100,100,0.648,76.0,10,Synthetic simulation
B-T02,T02,Baseline,250,8,2026-08-04,10:00-12:00,Village 5,Nadi@UTP,250,12,250,250,1.346,94.0,10,Synthetic simulation
B-T03,T03,Baseline,500,12,2026-08-05,12:00-14:00,Block B,Information Resource Centre,500,19,500,500,2.504,124.0,10,Synthetic simulation
B-T04,T04,Baseline,1000,16,2026-08-06,14:00-16:00,Chancellor Complex,Nadi@UTP,1000,32,1000,1000,4.812,184.0,10,Synthetic simulation
B-T05,T05,Baseline,2000,20,2026-08-07,Any available time,Pocket D,Any location,2000,245,2000,2000,9.42,304.0,10,Synthetic simulation
B-T06,T06,Baseline,3500,24,2026-08-10,16:00-18:00,Information Resource Centre,Chancellor Complex,3500,76,3500,3500,16.328,484.0,10,Synthetic simulation
B-T07,T07,Baseline,5000,28,2026-08-11,18:00-20:00,Nadi@UTP,Block B,5000,88,5000,5000,23.236,664.0,10,Synthetic simulation
B-T08,T08,Baseline,7500,30,2026-08-12,20:00-22:00,Village 1,Information Resource Centre,7500,108,7500,7500,34.74,964.0,10,Synthetic simulation
B-T09,T09,Baseline,10000,35,2026-08-13,Any available time,Chancellor Complex,Any location,10000,600,10000,10000,46.25,1264.0,10,Synthetic simulation
B-T10,T10,Baseline,15000,18,2026-08-14,10:00-12:00,Village 5,Village 5,15000,380,15000,15000,69.216,1864.0,10,Synthetic simulation
O-T01,T01,Optimized,100,4,2026-08-03,08:00-10:00,Village 1,Any location,22,12,22,66.59,1.599,84.1,10,Synthetic simulation
O-T02,T02,Optimized,250,8,2026-08-04,10:00-12:00,Village 5,Nadi@UTP,25,12,25,71.44,1.681,112.75,10,Synthetic simulation
O-T03,T03,Optimized,500,12,2026-08-05,12:00-14:00,Block B,Information Resource Centre,45,19,45,99.92,2.133,161.25,10,Synthetic simulation
O-T04,T04,Optimized,1000,16,2026-08-06,14:00-16:00,Chancellor Complex,Nadi@UTP,80,32,80,143.22,2.76,258.0,10,Synthetic simulation
O-T05,T05,Optimized,2000,20,2026-08-07,Any available time,Pocket D,Any location,680,245,680,774.09,10.732,478.0,10,Synthetic simulation
O-T06,T06,Optimized,3500,24,2026-08-10,16:00-18:00,Information Resource Centre,Chancellor Complex,245,76,245,324.37,5.144,741.25,10,Synthetic simulation
O-T07,T07,Optimized,5000,28,2026-08-11,18:00-20:00,Nadi@UTP,Block B,325,88,325,408.44,6.206,1030.25,10,Synthetic simulation
O-T08,T08,Optimized,7500,30,2026-08-12,20:00-22:00,Village 1,Information Resource Centre,450,108,450,538.14,7.823,1511.5,10,Synthetic simulation
O-T09,T09,Optimized,10000,35,2026-08-13,Any available time,Chancellor Complex,Any location,3000,600,3000,3115.51,39.108,2114.0,10,Synthetic simulation
O-T10,T10,Optimized,15000,18,2026-08-14,10:00-12:00,Village 5,Village 5,825,380,825,921.88,12.542,2955.25,10,Synthetic simulation
